Pelicula,Director,Duración,Sala,Horario,Fecha,Cine,Tickets_URL,Film_URL,Poster_URL,Idioma_Original,Calificación,Estreno,Intérpretes,Sinopsis
APOCALYPSE NOW [WILDER CINEMA],Francis Ford Coppola,153,07,20:00,2026-02-19,Renoir Princesa,https://www.pillalas.com/pase/1054570/,https://www.cinesrenoir.com/pelicula/apocalypse-now-wilder-cinema/,https://media.pillalas.com/imagenes/726afb526abffa838c95a8200f35199c6a3eafe159a0b551a13bd8269b393bb5380c016c.jpg,Inglés,Pendiente de calificación,Jueves 19 Febrero 2026,"Martin Sheen, Marlon Brando, Dennis Hopper, Robert Duvall, Frederic Forrest, Albert Hall, Sam Bottoms, Laurence Fishburne, Harrison Ford","Mucho más que una película bélica, Apocalypse Now es una experiencia sensorial y filosófica sobre la guerra y la locura. Coppola transforma el conflicto de Vietnam en un descenso hipnótico a los límites de la condición humana, combinando imágenes icónicas, música inolvidable y una atmósfera perturbadora. Radical, ambiciosa y profundamente influyente, es una obra clave del cine del siglo XX que cobra una nueva dimensión en pantalla grande.Palma de Oro – Festival de Cannes2 Premios Oscar (Fotografía y Sonido)“Una obra maestra total.” — El País“Cine llevado al límite.” — Fotogramas“Una experiencia inolvidable.” — Cinemanía“Una de las grandes películas de la historia.” — The Guardian“Deslumbrante y aterradora.” — The New York Times"
ARCO,Ugo Bienvenu,88,05,16:00,2026-02-19,Renoir Princesa,https://www.pillalas.com/pase/1054794/,https://www.cinesrenoir.com/pelicula/arco/,https://media.pillalas.com/imagenes/726afb526abffa83ddc364e355222ee7768df2fdf3b376e8597c17c1736c134c14e60f55.jpg,Francés,No recomendada para menores de 7 años,Viernes 23 Enero 2026,"Oscar Tresanini, Margot Ringard Oldra, Alma Jodorowsky, Swann Arlaud","En 2075, una niña de diez años llamada Iris es testigo de cómo un misterioso niño vestido con un traje arco iris cae del cielo. Su nombre es Arco, y viene de un idílico y lejano futuro en el que es posible viajar en el tiempo. Iris le da cobijo y hará lo que sea necesario para ayudarle a regresar a su tiempo."
AÍDA Y VUELTA,Paco León,90,03,16:00,2026-02-19,Renoir Princesa,https://www.pillalas.com/pase/1054729/,https://www.cinesrenoir.com/pelicula/aida-y-vuelta/,https://media.pillalas.com/imagenes/726afb526abffa8347d3f6e8043971b5b5a22f68100535465137cdcd8a815fa00441c58f.jpg,Castellano,No recomendada para menores de 12 años,Viernes 30 Enero 2026,"Carmen Machi, Paco León, Miren Ibarguren, Mariano Peña, Eduardo Casanova, Pepe Viyuela, Melani Olivares, Canco Rodríguez, Secun De La Rosa, David Castillo, Marisol Ayuso, Pepa Rus, Óscar Reyes, Adrián Gordillo","""Aída y vuelta"", el largometraje, aborda el rodaje de un capítulo de la serie con tramas que transcurren tanto dentro de la ficción con los personajes de ""Aída"", como fuera de ella con los propios actores y sus relaciones, yendo más allá y dando pie a reflexionar sobre temas como los límites del humor, del trabajo del cómico y la fama."
AÍDA Y VUELTA,Paco León,90,08,20:15,2026-02-19,Renoir Princesa,https://www.pillalas.com/pase/1054855/,https://www.cinesrenoir.com/pelicula/aida-y-vuelta/,https://media.pillalas.com/imagenes/726afb526abffa8347d3f6e8043971b5b5a22f68100535465137cdcd8a815fa00441c58f.jpg,Castellano,No recomendada para menores de 12 años,Viernes 30 Enero 2026,"Carmen Machi, Paco León, Miren Ibarguren, Mariano Peña, Eduardo Casanova, Pepe Viyuela, Melani Olivares, Canco Rodríguez, Secun De La Rosa, David Castillo, Marisol Ayuso, Pepa Rus, Óscar Reyes, Adrián Gordillo","""Aída y vuelta"", el largometraje, aborda el rodaje de un capítulo de la serie con tramas que transcurren tanto dentro de la ficción con los personajes de ""Aída"", como fuera de ella con los propios actores y sus relaciones, yendo más allá y dando pie a reflexionar sobre temas como los límites del humor, del trabajo del cómico y la fama."
CUMBRES BORRASCOSAS,Emerald Fennell,135,11,16:05,2026-02-19,Renoir Princesa,https://www.pillalas.com/pase/1054903/,https://www.cinesrenoir.com/pelicula/cumbres-borrascosas/,https://media.pillalas.com/imagenes/726afb526abffa83abe8577deb3c0674bd352fd2b0500497b1d5570f2dd570487210fc4e.jpg,Inglés,No recomendada para menores de 16 años,Viernes 13 Febrero 2026,"Margot Robbie, Jacob Elordi, Hong Chau, Alison Oliver, Owen Cooper, Shazad Latif, Martin Clunes, Ewan Mitchell, Amy Morgan, Jessica Knappett, Charlotte Mellington, Vy Nguyen","Adaptada a todo tipo de formatos en multitud de ocasiones, se trata de una trágica historia de pasiones encontradas en la Inglaterra rural más conservadora. Una historia de venganza y odio, de pasiones desatadas y amores desesperados que van más allá de la muerte ambientada en los brumosos y sombríos páramos de Yorkshire, al norte de Inglaterra."
CUMBRES BORRASCOSAS,Emerald Fennell,135,09,18:00,2026-02-19,Renoir Princesa,https://www.pillalas.com/pase/1054905/,https://www.cinesrenoir.com/pelicula/cumbres-borrascosas/,https://media.pillalas.com/imagenes/726afb526abffa83abe8577deb3c0674bd352fd2b0500497b1d5570f2dd570487210fc4e.jpg,Inglés,No recomendada para menores de 16 años,Viernes 13 Febrero 2026,"Margot Robbie, Jacob Elordi, Hong Chau, Alison Oliver, Owen Cooper, Shazad Latif, Martin Clunes, Ewan Mitchell, Amy Morgan, Jessica Knappett, Charlotte Mellington, Vy Nguyen","Adaptada a todo tipo de formatos en multitud de ocasiones, se trata de una trágica historia de pasiones encontradas en la Inglaterra rural más conservadora. Una historia de venganza y odio, de pasiones desatadas y amores desesperados que van más allá de la muerte ambientada en los brumosos y sombríos páramos de Yorkshire, al norte de Inglaterra."
CUMBRES BORRASCOSAS,Emerald Fennell,135,11,19:00,2026-02-19,Renoir Princesa,https://www.pillalas.com/pase/1054906/,https://www.cinesrenoir.com/pelicula/cumbres-borrascosas/,https://media.pillalas.com/imagenes/726afb526abffa83abe8577deb3c0674bd352fd2b0500497b1d5570f2dd570487210fc4e.jpg,Inglés,No recomendada para menores de 16 años,Viernes 13 Febrero 2026,"Margot Robbie, Jacob Elordi, Hong Chau, Alison Oliver, Owen Cooper, Shazad Latif, Martin Clunes, Ewan Mitchell, Amy Morgan, Jessica Knappett, Charlotte Mellington, Vy Nguyen","Adaptada a todo tipo de formatos en multitud de ocasiones, se trata de una trágica historia de pasiones encontradas en la Inglaterra rural más conservadora. Una historia de venganza y odio, de pasiones desatadas y amores desesperados que van más allá de la muerte ambientada en los brumosos y sombríos páramos de Yorkshire, al norte de Inglaterra."
CUMBRES BORRASCOSAS,Emerald Fennell,135,09,20:30,2026-02-19,Renoir Princesa,https://www.pillalas.com/pase/1054908/,https://www.cinesrenoir.com/pelicula/cumbres-borrascosas/,https://media.pillalas.com/imagenes/726afb526abffa83abe8577deb3c0674bd352fd2b0500497b1d5570f2dd570487210fc4e.jpg,Inglés,No recomendada para menores de 16 años,Viernes 13 Febrero 2026,"Margot Robbie, Jacob Elordi, Hong Chau, Alison Oliver, Owen Cooper, Shazad Latif, Martin Clunes, Ewan Mitchell, Amy Morgan, Jessica Knappett, Charlotte Mellington, Vy Nguyen","Adaptada a todo tipo de formatos en multitud de ocasiones, se trata de una trágica historia de pasiones encontradas en la Inglaterra rural más conservadora. Una historia de venganza y odio, de pasiones desatadas y amores desesperados que van más allá de la muerte ambientada en los brumosos y sombríos páramos de Yorkshire, al norte de Inglaterra."
CUMBRES BORRASCOSAS,Emerald Fennell,135,11,21:35,2026-02-19,Renoir Princesa,https://www.pillalas.com/pase/1054909/,https://www.cinesrenoir.com/pelicula/cumbres-borrascosas/,https://media.pillalas.com/imagenes/726afb526abffa83abe8577deb3c0674bd352fd2b0500497b1d5570f2dd570487210fc4e.jpg,Inglés,No recomendada para menores de 16 años,Viernes 13 Febrero 2026,"Margot Robbie, Jacob Elordi, Hong Chau, Alison Oliver, Owen Cooper, Shazad Latif, Martin Clunes, Ewan Mitchell, Amy Morgan, Jessica Knappett, Charlotte Mellington, Vy Nguyen","Adaptada a todo tipo de formatos en multitud de ocasiones, se trata de una trágica historia de pasiones encontradas en la Inglaterra rural más conservadora. Una historia de venganza y odio, de pasiones desatadas y amores desesperados que van más allá de la muerte ambientada en los brumosos y sombríos páramos de Yorkshire, al norte de Inglaterra."
HAMNET,Chloé Zhao,125,07,16:10,2026-02-19,Renoir Princesa,https://www.pillalas.com/pase/1054853/,https://www.cinesrenoir.com/pelicula/hamnet/,https://www.cinesrenoir.com/media/Peliculas/Cartel/HAMNET_Cartel_Digital_8Nominaciones_Oscar_YaEnCines_v2_2.jpg,Inglés,No recomendada para menores de 12 años,Viernes 23 Enero 2026,"Jessie Buckley, Paul Mescal, Joe Alwyn, Emily Watson","Año 1596, Stratford-upon-Avon, Inglaterra. La vida de Agnes transcurre plácidamente junto a su marido y sus tres hijos. Ella cultiva plantas medicinales mientras William trabaja en Londres. El destino, sin embargo, les reservará un duro golpe cuando su hijo Hamnet, de once años, muera repentinamente tras contraer la peste. A raíz de esta tragedia, su padre creará uno de los grandes personajes de la literatura universal, de nombre casi idéntico al de su hijo.


Pero esta película no habla de famosos sucesos sino de algo íntimo y olvidado: La vida de esta familia, y especialmente la de la mujer que la sostenía y que tuvo que cargar con una insoportable pérdida."
